fase,dataset,concordancia_alvo,fonte,cohen_kappa,chi2_stat,p_value,cramers_v
fase3_sintetico,SynSA-60,60,NB,0.18750335860162767,75.37627377633513,1.6589295076347073e-15,0.19423146694322854
fase3_sintetico,SynSA-60,60,RF,0.03398377604577361,10.372220207737298,0.03460338979080892,0.07205068636226808
fase3_sintetico,SynSA-60,60,LR,0.20696019620603198,90.68511786941083,9.41796062060692e-19,0.21304447160531298
fase3_sintetico,SynSA-55,55,Anotadores,0.32432432432432434,210.16216216216216,2.4519085670054497e-44,0.32432432432432434
fase3_sintetico,SynSA-55,55,SVM,0.18502446627927013,73.08330248256405,5.06612471846323e-15,0.1912543580438176
fase3_sintetico,SynSA-55,55,NB,0.16033088000805884,54.4756116966361,4.184101090305601e-11,0.1651213823804697
fase3_sintetico,SynSA-55,55,RF,0.048648275897321236,11.57878840188313,0.02077442777271538,0.0761261413072533
fase3_sintetico,SynSA-55,55,LR,0.18419636867474282,70.52709968059955,1.7567307648939204e-14,0.18787987835047362
fase3_sintetico,SynSA-50,50,Anotadores,0.2507496246240605,125.62780184896434,3.3510795337602826e-26,0.25075242312325585
fase3_sintetico,SynSA-50,50,SVM,0.15168714248217138,47.31481177994226,1.3111927827511805e-09,0.1538866042803859
fase3_sintetico,SynSA-50,50,NB,0.1229976430156781,42.95203575152926,1.0587741077790616e-08,0.14662031029552416
fase3_sintetico,SynSA-50,50,RF,0.04452292669198758,5.2323345285487886,0.2642782995537489,0.05117407595965675
fase3_sintetico,SynSA-50,50,LR,0.16611540455864487,55.90262585162288,2.1016834188263522e-11,0.16727011752859347
